age,income,loan_amount,credit_score,employment_years,loan_term,interest_rate,marital_status,education,default
25,300000,200000,650,2,36,12.5,Single,Graduate,1
32,800000,300000,750,8,60,9.8,Married,Postgraduate,0
45,1200000,500000,720,15,48,10.2,Married,Graduate,0
28,400000,250000,610,3,24,14.0,Single,Graduate,1
35,900000,400000,780,10,60,8.5,Married,Postgraduate,0
41,600000,350000,680,12,36,11.0,Married,Graduate,0
23,250000,150000,590,1,24,15.5,Single,School,1
50,1500000,600000,800,20,72,7.9,Married,Postgraduate,0
38,700000,300000,660,9,48,12.0,Married,Graduate,0
29,500000,280000,640,4,36,13.5,Single,Graduate,1
34,850000,350000,730,7,60,10.0,Married,Graduate,0
27,320000,200000,600,2,24,15.0,Single,School,1
48,1300000,550000,770,18,60,8.8,Married,Postgraduate,0
31,450000,300000,625,5,48,13.2,Single,Graduate,1
42,1000000,450000,740,14,60,9.5,Married,Graduate,0
26,350000,220000,610,3,36,14.8,Single,Graduate,1
39,750000,380000,700,11,48,11.2,Married,Graduate,0
52,1600000,650000,820,25,72,7.5,Married,Postgraduate,0
30,480000,260000,635,4,36,13.8,Single,Graduate,1
44,1100000,500000,760,16,60,9.0,Married,Postgraduate,0
